date,type,price
2019-09-12,AFRAMAX(110K),47.71
2019-09-12,LR2(110K),49.26
2019-09-12,LR1(74K),42.79
2019-09-12,MR(50K),35.49
2019-09-05,VLCC(320K),90.36
2019-09-05,SUEZMAX(160K),59.95
2019-09-05,AFRAMAX(110K),47.71
2019-09-05,LR2(110K),49.26
2019-09-05,LR1(74K),42.8
2019-09-05,MR(50K),35.49
2019-08-29,VLCC(320K),90.38
2019-08-29,SUEZMAX(160K),59.96
2019-08-29,AFRAMAX(110K),47.68
2019-08-29,LR2(110K),49.22
2019-08-29,LR1(74K),42.8
2019-08-29,MR(50K),35.49
2019-08-22,VLCC(320K),90.46
2019-08-22,SUEZMAX(160K),60.02
2019-08-22,AFRAMAX(110K),47.71
2019-08-22,LR2(110K),49.26
2019-08-22,LR1(74K),42.89
2019-08-22,MR(50K),35.52
2019-08-15,VLCC(320K),90.52
2019-08-15,SUEZMAX(160K),60.03
2019-08-15,AFRAMAX(110K),47.72
2019-08-15,LR2(110K),49.29
2019-08-15,LR1(74K),42.89
2019-08-15,MR(50K),35.53
2019-08-08,VLCC(320K),90.52
2019-08-08,SUEZMAX(160K),60.01
2019-08-08,AFRAMAX(110K),47.7
2019-08-08,LR2(110K),49.24
2019-08-08,LR1(74K),42.85
2019-08-08,MR(50K),35.52
2019-08-01,VLCC(320K),89.94
2019-08-01,SUEZMAX(160K),60.03
2019-08-01,AFRAMAX(110K),47.69
2019-08-01,LR2(110K),49.24
2019-08-01,LR1(74K),42.88
2019-08-01,MR(50K),35.52
2019-07-25,VLCC(320K),89.94
2019-07-25,SUEZMAX(160K),60.03
2019-07-25,AFRAMAX(110K),47.71
2019-07-25,LR2(110K),49.26
2019-07-25,LR1(74K),42.9
2019-07-25,MR(50K),35.54
2019-07-18,VLCC(320K),89.93
2019-07-18,SUEZMAX(160K),60.05
2019-07-18,AFRAMAX(110K),47.73
2019-07-18,LR2(110K),49.25
2019-07-18,LR1(74K),42.9
2019-07-18,MR(50K),35.53
2019-07-11,VLCC(320K),89.98
2019-07-11,SUEZMAX(160K),60.09
2019-07-11,AFRAMAX(110K),47.76
2019-07-11,LR2(110K),49.31
2019-07-11,LR1(74K),42.92
2019-07-11,MR(50K),35.53
2019-07-04,VLCC(320K),90.15
2019-07-04,SUEZMAX(160K),60.16
2019-07-04,AFRAMAX(110K),47.87
2019-07-04,LR2(110K),49.43
2019-07-04,LR1(74K),42.99
2019-07-04,MR(50K),35.6
2019-06-27,VLCC(320K),90.15
2019-06-27,SUEZMAX(160K),60.17
2019-06-27,AFRAMAX(110K),47.87
2019-06-27,LR2(110K),49.44
2019-06-27,LR1(74K),42.96
2019-06-27,MR(50K),35.71
2019-06-20,VLCC(320K),90.15
2019-06-20,SUEZMAX(160K),60.18
2019-06-20,AFRAMAX(110K),47.87
2019-06-20,LR2(110K),49.44
2019-06-20,LR1(74K),42.96
2019-06-20,MR(50K),35.71
2019-06-13,VLCC(320K),90.15
2019-06-13,SUEZMAX(160K),60.15
2019-06-13,AFRAMAX(110K),47.84
2019-06-13,LR2(110K),49.4
2019-06-13,LR1(74K),43.01
2019-06-13,MR(50K),35.71
2019-06-06,VLCC(320K),90.16
2019-06-06,SUEZMAX(160K),60.15
2019-06-06,AFRAMAX(110K),47.85
2019-06-06,LR2(110K),49.43
2019-06-06,LR1(74K),43.04
2019-06-06,MR(50K),35.71
2019-05-30,VLCC(320K),90.21
2019-05-30,SUEZMAX(160K),60.13
2019-05-30,AFRAMAX(110K),47.83
2019-05-30,LR2(110K),49.41
2019-05-30,LR1(74K),43.02
2019-05-30,MR(50K),35.63
2019-05-23,VLCC(320K),90.18
2019-05-23,SUEZMAX(160K),60.13
2019-05-23,AFRAMAX(110K),47.81
2019-05-23,LR2(110K),49.39
2019-05-23,LR1(74K),43.06
2019-05-23,MR(50K),35.56
2019-05-16,VLCC(320K),90.13
2019-05-16,SUEZMAX(160K),60.05
2019-05-16,AFRAMAX(110K),47.79
2019-05-16,LR2(110K),49.31
2019-05-16,LR1(74K),43.1
2019-05-16,MR(50K),35.59
2019-05-09,VLCC(320K),90.11
2019-05-09,SUEZMAX(160K),60.04
2019-05-09,AFRAMAX(110K),47.76
2019-05-09,LR2(110K),49.31
2019-05-09,LR1(74K),43.12
2019-05-09,MR(50K),35.58
2019-05-02,VLCC(320K),90.09
2019-05-02,SUEZMAX(160K),60.09
2019-05-02,AFRAMAX(110K),47.78
2019-05-02,LR2(110K),49.36
2019-05-02,LR1(74K),43.13
2019-05-02,MR(50K),35.59
2019-04-25,VLCC(320K),90.1
2019-04-25,SUEZMAX(160K),60.1
2019-04-25,AFRAMAX(110K),47.83
2019-04-25,LR2(110K),49.4
2019-04-25,LR1(74K),43.16
2019-04-25,MR(50K),35.61
2019-04-18,VLCC(320K),90.1
2019-04-18,SUEZMAX(160K),60.13
2019-04-18,AFRAMAX(110K),47.85
2019-04-18,LR2(110K),49.41
2019-04-18,LR1(74K),43.24
2019-04-18,MR(50K),35.66
2019-04-11,VLCC(320K),90.1
2019-04-11,SUEZMAX(160K),60.14
2019-04-11,AFRAMAX(110K),47.86
2019-04-11,LR2(110K),49.43
2019-04-11,LR1(74K),43.26
2019-04-11,MR(50K),35.66
2019-04-04,VLCC(320K),90.09
2019-04-04,SUEZMAX(160K),60.03
2019-04-04,AFRAMAX(110K),47.86
2019-04-04,LR2(110K),49.44
2019-04-04,LR1(74K),43.26
2019-04-04,MR(50K),35.66
2019-03-28,VLCC(320K),90.2
2019-03-28,SUEZMAX(160K),60.09
2019-03-28,AFRAMAX(110K),47.88
2019-03-28,LR2(110K),49.46
2019-03-28,LR1(74K),43.26
2019-03-28,MR(50K),35.66
2019-03-21,VLCC(320K),90.2
2019-03-21,SUEZMAX(160K),60.08
2019-03-21,AFRAMAX(110K),47.89
2019-03-21,LR2(110K),49.46
2019-03-21,LR1(74K),43.26
2019-03-21,MR(50K),35.66
2019-03-14,VLCC(320K),90.2
2019-03-14,SUEZMAX(160K),60.08
2019-03-14,AFRAMAX(110K),47.89
2019-03-14,LR2(110K),49.46
2019-03-14,LR1(74K),43.26
2019-03-14,MR(50K),35.68
2019-03-07,VLCC(320K),90.19
2019-03-07,SUEZMAX(160K),60.08
2019-03-07,AFRAMAX(110K),47.89
2019-03-07,LR2(110K),49.46
2019-03-07,LR1(74K),43.26
2019-03-07,MR(50K),35.68
2019-02-28,VLCC(320K),90.11
2019-02-28,SUEZMAX(160K),60.04
2019-02-28,AFRAMAX(110K),47.83
2019-02-28,LR2(110K),49.44
2019-02-28,LR1(74K),43.26
2019-02-28,MR(50K),35.68
2019-02-21,VLCC(320K),90.08
2019-02-21,SUEZMAX(160K),60.03
2019-02-21,AFRAMAX(110K),47.83
2019-02-21,LR2(110K),49.47
2019-02-21,LR1(74K),43.3
2019-02-21,MR(50K),35.69
2019-02-14,VLCC(320K),90.0
2019-02-14,SUEZMAX(160K),59.96
2019-02-14,AFRAMAX(110K),47.74
2019-02-14,LR2(110K),49.46
2019-02-14,LR1(74K),43.3
2019-02-14,MR(50K),35.54
2019-02-07,VLCC(320K),89.95
2019-02-07,SUEZMAX(160K),59.92
2019-02-07,AFRAMAX(110K),47.68
2019-02-07,LR2(110K),49.42
2019-02-07,LR1(74K),43.24
2019-02-07,MR(50K),35.54
2019-01-31,VLCC(320K),89.95
2019-01-31,SUEZMAX(160K),59.92
2019-01-31,AFRAMAX(110K),47.68
2019-01-31,LR2(110K),49.42
2019-01-31,LR1(74K),43.2
2019-01-31,MR(50K),35.54
2019-01-24,VLCC(320K),89.64
2019-01-24,SUEZMAX(160K),59.87
2019-01-24,AFRAMAX(110K),47.64
2019-01-24,LR2(110K),49.36
2019-01-24,LR1(74K),43.1
2019-01-24,MR(50K),35.5
2019-01-17,VLCC(320K),89.44
2019-01-17,SUEZMAX(160K),59.63
2019-01-17,AFRAMAX(110K),47.49
2019-01-17,LR2(110K),49.29
2019-01-17,LR1(74K),42.98
2019-01-17,MR(50K),35.5
2019-01-10,VLCC(320K),89.33
2019-01-10,SUEZMAX(160K),59.48
2019-01-10,AFRAMAX(110K),47.41
2019-01-10,LR2(110K),49.17
2019-01-10,LR1(74K),42.92
2019-01-10,MR(50K),35.48
2019-01-03,VLCC(320K),89.21
2019-01-03,SUEZMAX(160K),59.41
2019-01-03,AFRAMAX(110K),47.33
2019-01-03,LR2(110K),49.13
2019-01-03,LR1(74K),42.88
2019-01-03,MR(50K),35.35
2018-12-27,VLCC(320K),89.19
2018-12-27,SUEZMAX(160K),59.37
2018-12-27,AFRAMAX(110K),47.33
2018-12-27,LR2(110K),49.11
2018-12-27,LR1(74K),42.88
2018-12-27,MR(50K),35.34
2018-12-20,VLCC(320K),89.19
2018-12-20,SUEZMAX(160K),59.33
2018-12-20,AFRAMAX(110K),47.31
2018-12-20,LR2(110K),49.1
2018-12-20,LR1(74K),42.84
2018-12-20,MR(50K),35.27
2018-12-13,VLCC(320K),89.02
2018-12-13,SUEZMAX(160K),59.22
2018-12-13,AFRAMAX(110K),47.2
2018-12-13,LR2(110K),49.14
2018-12-13,LR1(74K),42.84
2018-12-13,MR(50K),35.22
2018-12-06,VLCC(320K),88.91
2018-12-06,SUEZMAX(160K),59.04
2018-12-06,AFRAMAX(110K),47.19
2018-12-06,LR2(110K),49.07
2018-12-06,LR1(74K),42.8
2018-12-06,MR(50K),35.22
2018-11-29,VLCC(320K),88.9
2018-11-29,SUEZMAX(160K),58.98
2018-11-29,AFRAMAX(110K),47.15
2018-11-29,LR2(110K),48.96
2018-11-29,LR1(74K),42.78
2018-11-29,MR(50K),35.21
2018-11-22,VLCC(320K),88.9
2018-11-22,SUEZMAX(160K),58.93
2018-11-22,AFRAMAX(110K),47.09
2018-11-22,LR2(110K),48.93
2018-11-22,LR1(74K),42.78
2018-11-22,MR(50K),35.03
2018-11-15,VLCC(320K),88.75
2018-11-15,SUEZMAX(160K),58.8
2018-11-15,AFRAMAX(110K),46.99
2018-11-15,LR2(110K),48.83
2018-11-15,LR1(74K),42.76
2018-11-15,MR(50K),34.99
2018-11-08,VLCC(320K),88.75
2018-11-08,SUEZMAX(160K),58.76
2018-11-08,AFRAMAX(110K),46.99
2018-11-08,LR2(110K),48.83
2018-11-08,LR1(74K),42.76
2018-11-08,MR(50K),34.93
2018-11-01,VLCC(320K),88.5
2018-11-01,SUEZMAX(160K),58.71
2018-11-01,AFRAMAX(110K),46.89
2018-11-01,LR2(110K),48.67
2018-11-01,LR1(74K),42.8
2018-11-01,MR(50K),34.88
2018-10-25,VLCC(320K),88.19
2018-10-25,SUEZMAX(160K),58.69
2018-10-25,AFRAMAX(110K),46.82
2018-10-25,LR2(110K),48.53
2018-10-25,LR1(74K),42.8
2018-10-25,MR(50K),34.88
2018-10-18,VLCC(320K),87.98
2018-10-18,SUEZMAX(160K),58.43
2018-10-18,AFRAMAX(110K),46.76
2018-10-18,LR2(110K),48.39
2018-10-18,LR1(74K),42.7
2018-10-18,MR(50K),34.81
2018-10-11,VLCC(320K),87.91
2018-10-11,SUEZMAX(160K),58.38
2018-10-11,AFRAMAX(110K),46.78
2018-10-11,LR2(110K),48.29
2018-10-11,LR1(74K),42.72
2018-10-11,MR(50K),34.88
2018-10-04,VLCC(320K),87.59
2018-10-04,SUEZMAX(160K),58.26
2018-10-04,AFRAMAX(110K),46.69
2018-10-04,LR2(110K),48.1
2018-10-04,LR1(74K),42.52
2018-10-04,MR(50K),34.8
2018-09-27,VLCC(320K),87.63
2018-09-27,SUEZMAX(160K),58.26
2018-09-27,AFRAMAX(110K),46.69
2018-09-27,LR2(110K),48.1
2018-09-27,LR1(74K),42.47
2018-09-27,MR(50K),34.8
2018-09-20,VLCC(320K),87.29
2018-09-20,SUEZMAX(160K),58.03
2018-09-20,AFRAMAX(110K),46.44
2018-09-20,LR2(110K),47.89
2018-09-20,LR1(74K),42.28
2018-09-20,MR(50K),34.8
2018-09-13,VLCC(320K),87.22
2018-09-13,SUEZMAX(160K),57.94
2018-09-13,AFRAMAX(110K),46.44
2018-09-13,LR2(110K),47.88
2018-09-13,LR1(74K),42.28
2018-09-13,MR(50K),34.76
2018-09-06,VLCC(320K),87.13
2018-09-06,SUEZMAX(160K),57.92
2018-09-06,AFRAMAX(110K),46.46
2018-09-06,LR2(110K),47.84
2018-09-06,LR1(74K),42.26
2018-09-06,MR(50K),34.71
2018-08-30,VLCC(320K),87.04
2018-08-30,SUEZMAX(160K),57.81
2018-08-30,AFRAMAX(110K),46.42
2018-08-30,LR2(110K),47.75
2018-08-30,LR1(74K),42.22
2018-08-30,MR(50K),34.68
2018-08-23,VLCC(320K),86.98
2018-08-23,SUEZMAX(160K),57.74
2018-08-23,AFRAMAX(110K),46.34
2018-08-23,LR2(110K),47.72
2018-08-23,LR1(74K),42.22
2018-08-23,MR(50K),34.66
2018-08-16,VLCC(320K),86.76
2018-08-16,SUEZMAX(160K),57.63
2018-08-16,AFRAMAX(110K),46.05
